Table VIIIa. Energies are in eV and Cross Sections are in Angstrom^2.

Energy         	v=0         	Energy         	v=1         	Energy         	v=2         	Energy         	v=3         	Energy         	v=4
90.58         	7.00(-03)	88.06         	7.89(-03)	87.58         	8.32(-03)	87.12         	8.73(-03)	86.70         	9.12(-03)
91.58         	6.79(-03)	89.06         	7.65(-03)	88.58         	8.07(-03)	88.12         	8.46(-03)	87.70         	8.84(-03)
92.58         	6.59(-03)	90.06         	7.42(-03)	89.58         	7.82(-03)	89.12         	8.21(-03)	88.70         	8.58(-03)
93.58         	6.40(-03)	91.06         	7.20(-03)	90.58         	7.59(-03)	90.12         	7.96(-03)	89.70         	8.32(-03)
94.58         	6.21(-03)	92.06         	6.99(-03)	91.58         	7.36(-03)	91.12         	7.73(-03)	90.70         	8.07(-03)
95.58         	6.04(-03)	93.06         	6.78(-03)	92.58         	7.15(-03)	92.12         	7.50(-03)	91.70         	7.83(-03)
96.58         	5.87(-03)	94.06         	6.59(-03)	93.58         	6.94(-03)	93.12         	7.28(-03)	92.70         	7.60(-03)
97.58         	5.70(-03)	95.06         	6.40(-03)	94.58         	6.74(-03)	94.12         	7.07(-03)	93.70         	7.38(-03)
98.58         	5.54(-03)	96.06         	6.22(-03)	95.58         	6.55(-03)	95.12         	6.87(-03)	94.70         	7.17(-03)
99.58         	5.39(-03)	97.06         	6.04(-03)	96.58         	6.37(-03)	96.12         	6.68(-03)	95.70         	6.97(-03)
         	         	98.06         	5.87(-03)	97.58         	6.19(-03)	97.12         	6.49(-03)	96.70         	6.77(-03)
         	         	99.06         	5.71(-03)	98.58         	6.02(-03)	98.12         	6.31(-03)	97.70         	6.59(-03)
         	         	         	         	99.58         	5.85(-03)	99.12         	6.14(-03)	98.70         	6.40(-03)
         	         	         	         	         	         	         	         	99.70         	6.23(-03)




Energy         	v=5         	Energy         	v=6         	Energy         	v=7         	Energy         	v=8         	Energy         	v=9
2.30         	2.89(-15)	1.94         	9.19(-13)	1.60         	1.76(-10)	1.30         	1.98(-08)	1.02         	1.25(-06)
3.30         	2.07(-02)	2.94         	5.69(-02)	2.60         	7.16(-02)	2.30         	8.40(-02)	2.02         	9.55(-02)
4.30         	1.20(-01)	3.94         	1.49(-01)	3.60         	1.59(-01)	3.30         	1.79(-01)	3.02         	1.94(-01)
5.30         	2.02(-01)	4.94         	2.26(-01)	4.60         	2.37(-01)	4.30         	2.58(-01)	4.02         	2.76(-01)
6.30         	2.74(-01)	5.94         	2.86(-01)	5.60         	3.06(-01)	5.30         	3.28(-01)	5.02         	3.44(-01)
7.30         	3.20(-01)	6.94         	3.45(-01)	6.60         	3.68(-01)	6.30         	3.82(-01)	6.02         	3.96(-01)
8.30         	3.80(-01)	7.94         	3.94(-01)	7.60         	4.07(-01)	7.30         	4.27(-01)	7.02         	4.47(-01)
9.30         	4.11(-01)	8.94         	4.35(-01)	8.60         	4.56(-01)	8.30         	4.70(-01)	8.02         	4.83(-01)
10.30         	4.54(-01)	9.94         	4.64(-01)	9.60         	4.81(-01)	9.30         	5.00(-01)	9.02         	5.18(-01)
11.30         	4.90(-01)	10.94         	5.05(-01)	10.60         	5.15(-01)	10.30         	5.26(-01)	10.02         	5.39(-01)
12.30         	5.05(-01)	11.94         	5.26(-01)	11.60         	5.43(-01)	11.30         	5.56(-01)	11.02         	5.67(-01)
13.30         	5.28(-01)	12.94         	5.39(-01)	12.60         	5.55(-01)	12.30         	5.71(-01)	12.02         	5.86(-01)
14.30         	5.62(-01)	13.94         	5.63(-01)	13.60         	5.71(-01)	13.30         	5.82(-01)	13.02         	5.95(-01)
15.30         	5.70(-01)	14.94         	5.94(-01)	14.60         	5.95(-01)	14.30         	6.00(-01)	14.02         	6.07(-01)
16.30         	5.17(-01)	15.94         	5.44(-01)	15.60         	5.71(-01)	15.30         	5.97(-01)	15.02         	6.24(-01)
17.30         	4.65(-01)	16.94         	4.91(-01)	16.60         	5.16(-01)	16.30         	5.39(-01)	16.02         	5.62(-01)
18.30         	4.17(-01)	17.94         	4.41(-01)	17.60         	4.63(-01)	17.30         	4.85(-01)	17.02         	5.05(-01)
19.30         	3.74(-01)	18.94         	3.95(-01)	18.60         	4.16(-01)	18.30         	4.35(-01)	18.02         	4.53(-01)
20.30         	3.36(-01)	19.94         	3.55(-01)	19.60         	3.73(-01)	19.30         	3.91(-01)	19.02         	4.07(-01)
21.30         	3.03(-01)	20.94         	3.20(-01)	20.60         	3.36(-01)	20.30         	3.52(-01)	20.02         	3.66(-01)
22.30         	2.74(-01)	21.94         	2.89(-01)	21.60         	3.03(-01)	21.30         	3.17(-01)	21.02         	3.30(-01)
23.30         	2.48(-01)	22.94         	2.62(-01)	22.60         	2.75(-01)	22.30         	2.87(-01)	22.02         	2.99(-01)
24.30         	2.26(-01)	23.94         	2.38(-01)	23.60         	2.50(-01)	23.30         	2.61(-01)	23.02         	2.71(-01)
25.30         	2.07(-01)	24.94         	2.17(-01)	24.60         	2.28(-01)	24.30         	2.38(-01)	24.02         	2.47(-01)
26.30         	1.89(-01)	25.94         	1.99(-01)	25.60         	2.08(-01)	25.30         	2.17(-01)	25.02         	2.25(-01)
27.30         	1.74(-01)	26.94         	1.83(-01)	26.60         	1.91(-01)	26.30         	1.99(-01)	26.02         	2.06(-01)
28.30         	1.60(-01)	27.94         	1.68(-01)	27.60         	1.76(-01)	27.30         	1.83(-01)	27.02         	1.90(-01)
29.30         	1.47(-01)	28.94         	1.55(-01)	28.60         	1.62(-01)	28.30         	1.68(-01)	28.02         	1.74(-01)
30.30         	1.36(-01)	29.94         	1.43(-01)	29.60         	1.49(-01)	29.30         	1.55(-01)	29.02         	1.61(-01)
31.30         	1.26(-01)	30.94         	1.32(-01)	30.60         	1.38(-01)	30.30         	1.44(-01)	30.02         	1.49(-01)
32.30         	1.17(-01)	31.94         	1.23(-01)	31.60         	1.28(-01)	31.30         	1.33(-01)	31.02         	1.38(-01)
33.30         	1.09(-01)	32.94         	1.14(-01)	32.60         	1.19(-01)	32.30         	1.24(-01)	32.02         	1.28(-01)
34.30         	1.02(-01)	33.94         	1.06(-01)	33.60         	1.11(-01)	33.30         	1.15(-01)	33.02         	1.19(-01)
35.30         	9.48(-02)	34.94         	9.92(-02)	34.60         	1.03(-01)	34.30         	1.07(-01)	34.02         	1.11(-01)
36.30         	8.86(-02)	35.94         	9.27(-02)	35.60         	9.66(-02)	35.30         	1.00(-01)	35.02         	1.04(-01)
37.30         	8.29(-02)	36.94         	8.67(-02)	36.60         	9.03(-02)	36.30         	9.37(-02)	36.02         	9.68(-02)
38.30         	7.78(-02)	37.94         	8.13(-02)	37.60         	8.46(-02)	37.30         	8.77(-02)	37.02         	9.06(-02)
39.30         	7.30(-02)	38.94         	7.63(-02)	38.60         	7.94(-02)	38.30         	8.23(-02)	38.02         	8.50(-02)
40.30         	6.86(-02)	39.94         	7.17(-02)	39.60         	7.46(-02)	39.30         	7.73(-02)	39.02         	7.98(-02)
41.30         	6.46(-02)	40.94         	6.75(-02)	40.60         	7.02(-02)	40.30         	7.27(-02)	40.02         	7.50(-02)
42.30         	6.09(-02)	41.94         	6.36(-02)	41.60         	6.61(-02)	41.30         	6.84(-02)	41.02         	7.06(-02)
43.30         	5.74(-02)	42.94         	5.99(-02)	42.60         	6.23(-02)	42.30         	6.45(-02)	42.02         	6.66(-02)
44.30         	5.42(-02)	43.94         	5.66(-02)	43.60         	5.88(-02)	43.30         	6.09(-02)	43.02         	6.28(-02)
45.30         	5.13(-02)	44.94         	5.35(-02)	44.60         	5.56(-02)	44.30         	5.75(-02)	44.02         	5.93(-02)
46.30         	4.86(-02)	45.94         	5.06(-02)	45.60         	5.26(-02)	45.30         	5.44(-02)	45.02         	5.61(-02)
47.30         	4.60(-02)	46.94         	4.80(-02)	46.60         	4.98(-02)	46.30         	5.15(-02)	46.02         	5.31(-02)
48.30         	4.36(-02)	47.94         	4.55(-02)	47.60         	4.72(-02)	47.30         	4.88(-02)	47.02         	5.03(-02)
49.30         	4.14(-02)	48.94         	4.32(-02)	48.60         	4.48(-02)	48.30         	4.63(-02)	48.02         	4.77(-02)
50.30         	3.94(-02)	49.94         	4.10(-02)	49.60         	4.25(-02)	49.30         	4.40(-02)	49.02         	4.53(-02)
51.30         	3.74(-02)	50.94         	3.90(-02)	50.60         	4.04(-02)	50.30         	4.18(-02)	50.02         	4.31(-02)
52.30         	3.56(-02)	51.94         	3.71(-02)	51.60         	3.85(-02)	51.30         	3.98(-02)	51.02         	4.09(-02)
53.30         	3.39(-02)	52.94         	3.53(-02)	52.60         	3.66(-02)	52.30         	3.79(-02)	52.02         	3.90(-02)
54.30         	3.24(-02)	53.94         	3.37(-02)	53.60         	3.49(-02)	53.30         	3.61(-02)	53.02         	3.71(-02)
55.30         	3.09(-02)	54.94         	3.21(-02)	54.60         	3.33(-02)	54.30         	3.44(-02)	54.02         	3.53(-02)
56.30         	2.95(-02)	55.94         	3.07(-02)	55.60         	3.18(-02)	55.30         	3.28(-02)	55.02         	3.37(-02)
